Дата,Цена Bitcoin,Цена Ethereum
2016-09-11,605.6,11.68
2016-09-12,608.0,12.0
2016-09-13,608.6,12.01
2016-09-14,609.5,11.94
2016-09-15,608.1,12.01
2016-09-16,607.8,12.68
2016-09-17,607.1,12.8
2016-09-18,610.7,12.32
2016-09-19,609.8,12.9
2016-09-20,609.2,14.45
2016-09-21,597.2,13.74
2016-09-22,595.6,13.17
2016-09-23,602.9,13.36
2016-09-24,602.6,12.86
2016-09-25,601.5,13.05
2016-09-26,606.5,12.9
2016-09-27,605.5,13.08
2016-09-28,604.7,13.25
2016-09-29,604.7,13.1
2016-09-30,608.1,13.3
2016-10-01,613.4,13.18
2016-10-02,610.7,13.16
2016-10-03,611.6,13.44
2016-10-04,609.0,13.33
2016-10-05,611.8,13.11
2016-10-06,611.0,12.84
2016-10-07,616.0,12.69
2016-10-08,617.7,12.26
2016-10-09,615.8,12.01
2016-10-10,617.3,11.73
2016-10-11,640.5,11.78
2016-10-12,636.0,11.72
2016-10-13,635.6,12.07
2016-10-14,637.9,11.93
2016-10-15,637.0,12.01
2016-10-16,640.1,11.98
2016-10-17,637.4,12.0
2016-10-18,635.3,12.54
2016-10-19,629.1,11.99
2016-10-20,628.3,12.09
2016-10-21,630.5,12.16
2016-10-22,655.5,12.29
2016-10-23,653.0,12.07
2016-10-24,650.5,11.99
2016-10-25,651.0,11.36
2016-10-26,674.7,11.5
2016-10-27,682.3,11.57
2016-10-28,686.2,11.15
2016-10-29,715.0,10.38
2016-10-30,697.3,11.28
2016-10-31,698.7,10.96
2016-11-01,726.8,10.81
2016-11-02,733.5,10.86
2016-11-03,684.9,10.86
2016-11-04,702.1,11.21
2016-11-05,702.1,11.17
2016-11-06,709.9,10.91
2016-11-07,705.4,10.88
2016-11-08,710.9,10.92
2016-11-09,721.4,10.72
2016-11-10,714.6,10.54
2016-11-11,715.0,10.27
2016-11-12,704.3,10.01
2016-11-13,702.0,10.08
2016-11-14,704.6,10.0
2016-11-15,711.1,10.27
2016-11-16,740.3,10.02
2016-11-17,737.5,9.99
2016-11-18,747.0,9.52
2016-11-19,747.9,9.73
2016-11-20,728.5,9.57
2016-11-21,736.2,9.61
2016-11-22,749.3,9.84
2016-11-23,741.1,9.69
2016-11-24,735.3,9.2
2016-11-25,740.4,9.38
2016-11-26,734.1,9.33
2016-11-27,729.4,8.88
2016-11-28,733.3,8.7
2016-11-29,732.6,8.16
2016-11-30,742.5,8.62
2016-12-01,752.6,8.46
2016-12-02,770.9,7.7
2016-12-03,764.2,7.91
2016-12-04,766.4,7.55
2016-12-05,754.3,6.7
2016-12-06,758.2,7.71
2016-12-07,765.6,8.33
2016-12-08,768.5,8.3
2016-12-09,770.5,8.52
2016-12-10,774.0,8.12
